 1- 3+2 (1,1) 
 2- 3+2 (7,5) 
 3- 3+2 (5,1) 
 4- 3+2 (1,5) 
 5- 5+0 (1,1) 
 6- 5+0 (7,1) 
 7- 5+0 (1,3) 
 8- 5+0 (7,3) 
 9- 5+0 (7,5) 
10- 5+1 (5,1) 
11- 5+1 (1,3) 
12- 5+1 (1,1) 
13- 5+1 (7,5) 
14- 5+1 (6,3) 
15- 3+3 (1,1) 
16- 3+3 (1,5) 
17- 3+3 (7,1) 
18- 3+3 (7,3) 
19- 3+3 (7,5) 
20- 2+3 (1,3) 
21- 2+3 (3,3) 
22- 2+3 (7,5) 
23- 2+3 (5,1) 
24- 2+3 (5,5) 
25- 5+2 (1,6) 
26- 5+2 (7,7) 
27- 5+2 (3,6) 
28- 5+2 (4,3) 
29- 2+4 (1,7) 
30- 2+4 (7,4) 
31- 2+4 (7,6) 
32- 2+4 (3,5) 
33- 1+3 (7,1) 
34- 1+3 (7,3) 
35- 1+3 (1,1) 
36- 1+3 (1,5) 
37- 7+8( 1,1) *
38- 7+8(11,1) *
39- 7+8(11,3) *
40- 7+8( 7,9) *
